Date,price,10 day SMA,2 x SD,upper Band,lower Band,signal
2023-08-10,29429.591796875,29310.16015625,186.53808344004804,29496.69823969005,29123.62207280995,0
2023-08-11,29397.71484375,29282.3583984375,45.08081943650642,29327.439217874005,29237.277579000995,-1
2023-08-12,29415.96484375,29308.758984375,25.809397513308983,29334.568381888308,29282.94958686169,-1
2023-08-13,29282.9140625,29319.182421875,188.1622193280859,29507.344641203086,29131.020202546915,0
2023-08-14,29408.443359375,29352.617578125,177.52523411578358,29530.14281224078,29175.092344009216,0
2023-08-15,29170.34765625,29365.4396484375,336.7181725021331,29702.157820939632,29028.721475935366,0
2023-08-16,28701.779296875,29331.43203125,662.6557287270354,29994.087759977036,28668.77630252296,0
2023-08-17,26664.55078125,29079.829296875,2881.076196450084,31960.905493325085,26198.753100424914,0
2023-08-18,26049.556640625,28708.2357421875,869.7330544518614,29577.96879663936,27838.502687735636,1
2023-08-19,26096.205078125,28361.7068359375,65.97085297601367,28427.677688913514,28295.735982961487,1
2023-08-20,26189.583984375,28037.7060546875,132.05771565831577,28169.763770345817,27905.648339029183,1
2023-08-21,26124.140625,27710.3486328125,92.55088639538144,27802.89951920788,27617.79774641712,1
2023-08-22,26031.65625,27371.9177734375,130.7926574325992,27502.7104308701,27241.125116004903,1
2023-08-23,26431.640625,27086.7904296875,565.6633278623259,27652.453757549825,26521.127101825172,1
2023-08-24,26162.373046875,26762.1833984375,380.8018608917319,27142.985259329234,26381.381537545767,1
2023-08-25,26047.66796875,26449.9154296875,162.21747715744044,26612.132906844938,26287.69795253006,1
2023-08-26,26008.462890625,26180.5837890625,55.44435319827175,26236.028142260773,26125.13943586423,1
2023-08-27,26089.693359375,26123.098046875,114.87723058417387,26237.975277459173,26008.220816290825,0
2023-08-28,26106.150390625,26128.757421875,23.27375679014785,26152.03117866515,26105.483665084852,0
2023-08-29,27727.392578125,26291.876171875,2292.7826894539244,28584.658861328924,23999.093482421074,0
2023-08-30,27297.265625,26402.6443359375,608.2913706515915,27010.93570658909,25794.35296528591,-1
2023-08-31,25931.47265625,26383.3775390625,1931.5229398000629,28314.900478862564,24451.85459926244,0
2023-09-01,25800.724609375,26360.284375,184.90566114441816,26545.190036144417,26175.37871385558,1
2023-09-02,25868.798828125,26304.0001953125,96.27148340420284,26400.2716787167,26207.728711908298,1
2023-09-03,25969.56640625,26284.71953125,142.50687563186543,26427.226406881866,26142.212655618136,1
2023-09-04,25812.416015625,26261.1943359375,222.2442137541047,26483.438549691604,26038.950122183396,1
2023-09-05,25779.982421875,26238.3462890625,45.86802815774925,26284.214317220252,26192.47826090475,1
2023-09-06,25753.236328125,26204.7005859375,37.82468852175227,26242.52527445925,26166.875897415746,1
2023-09-07,26240.1953125,26218.105078125,688.6640000225531,26906.769078147554,25529.44107810245,0
2023-09-08,25905.654296875,26035.93125,473.1124414669445,26509.043691466944,25562.81880853306,0
2023-09-09,25895.677734375,25895.7724609375,14.108989993362831,25909.88145093086,25881.66347094414,0
2023-09-10,25832.2265625,25885.8478515625,89.73350781409128,25975.58135937659,25796.11434374841,0
2023-09-11,25162.654296875,25822.0408203125,946.9181790357555,26768.958999348255,24875.122641276746,0
2023-09-12,25833.34375,25818.4953125,948.4981207499692,26766.99343324997,24869.99719175003,0
2023-09-13,26228.32421875,25844.37109375,558.5867357787324,26402.957829528732,25285.784357971268,0
2023-09-14,26539.673828125,25917.096875,440.31484021769035,26357.41171521769,25476.782034782307,-1
2023-09-15,26608.693359375,25999.96796875,97.60835716238365,26097.57632591238,25902.359611587617,-1
2023-09-16,26568.28125,26081.4724609375,57.1513531622299,26138.62381409973,26024.32110777527,-1
2023-09-17,26534.1875,26110.8716796875,48.21584364215771,26159.087523329657,26062.655836045345,-1
2023-09-18,26754.28125,26195.734375,311.25956624355337,26506.993941243552,25884.474808756448,-1
2023-09-19,27211.1171875,26327.2783203125,646.0635785919276,26973.34189890443,25681.21474172057,-1
2023-09-20,27132.0078125,26457.2564453125,111.87755103585907,26569.13399634836,26345.378894276644,-1
2023-09-21,26567.6328125,26597.754296875,798.1467792643156,27395.901076139315,25799.607517610682,0
2023-09-22,26579.568359375,26672.3767578125,16.879412264964813,26689.256170077464,26655.497345547537,1
2023-09-23,26579.390625,26707.4833984375,0.25135436362490554,26707.734752801123,26707.232044073877,1
2023-09-24,26256.826171875,26679.1986328125,456.1750243488355,27135.373657161334,26223.023608463664,0
2023-09-25,26298.48046875,26648.17734375,58.90807157174023,26707.08541532174,26589.269272178262,1
2023-09-26,26217.25,26613.07421875,114.87723058417387,26727.951449334174,26498.196988165826,1
2023-09-27,26352.716796875,26594.9271484375,191.57898139186622,26786.506129829366,26403.34816704563,1
2023-09-28,27021.546875,26621.6537109375,945.8685674074317,27567.52227834493,25675.785143530065,0
2023-09-29,26911.720703125,26591.7140625,155.31766176914357,26747.03172426914,26436.396400730857,-1
2023-09-30,26967.916015625,26575.3048828125,79.47217307929432,26654.777055891795,26495.832709733204,-1
2023-10-01,27983.75,26716.9166015625,1436.6061978226237,28153.522799385126,25280.310403739877,0
2023-10-02,27530.78515625,26812.03828125,640.5890253094599,27452.627306559458,26171.44925594054,-1
2023-10-03,27429.978515625,26897.0970703125,142.5621183491456,27039.659188661644,26754.534951963353,-1
2023-10-04,27799.39453125,27051.35390625,522.4331394547062,27573.787045704703,26528.920766795294,-1
2023-10-05,27415.912109375,27163.0970703125,542.3260419473058,27705.423112259803,26620.771028365194,0
2023-10-06,27946.59765625,27336.0318359375,750.5026977460079,28086.53453368351,26585.529138191494,0
2023-10-07,27968.83984375,27497.644140625,31.455203219345325,27529.099343844347,27466.188937405655,-1
2023-10-08,27935.08984375,27588.9984375,47.72970773009196,27636.728145230092,27541.268729769905,-1
2023-10-09,27583.677734375,27656.194140625,496.9717710602625,28153.165911685264,27159.222369564737,0
2023-10-10,27391.01953125,27698.5044921875,272.4598437618056,27970.964335949306,27426.044648425697,1
2023-10-11,26873.3203125,27587.4615234375,732.1372563862056,28319.598779823707,26855.324267051295,0
2023-10-12,26756.798828125,27510.062890625,164.7862635109697,27674.84915413597,27345.276627114028,1
2023-10-13,26862.375,27453.3025390625,149.30725412905792,27602.609793191557,27303.995284933444,1
2023-10-14,26861.70703125,27359.5337890625,0.9446504654914033,27360.478439527993,27358.58913859701,1
